02229682=>02363321,02365871,02384418,02243746,02240142,02239732,02315440,00690473,02390922,02262630
02243329=>02372525,02141426,02348756,02261790,02315920,02377950,02309955,02046679,02243934,02103737
02242330=>00371009,02399350,00861995,02315963,02122014,02239699,00592293,02325853,02238480,02326523
02239513=>00786209,02185830,02243396,02249685,02243421,02245346,02170817,02130165,02351889,02154781
02239497=>02386119,02061066,00839396,02231583,02362856,00771384,02319330,02321874,02248578,02410702
02238407=>02243065,02243478,02238928,02241796,02345390,02364719,02263432,02230454,02296292,02272792
02240541=>00649074,00610461,02023784,02126613,00813648,02391295,00616923,02266539,02395134,02287153
02237962=>02325624,02321696,02351021,01940457,02381206,02368927,02237532,02393018,02287846,00141828
02229501=>02242974,00402230,00830232,00299405,02380382,01913433,02393360,02210657,02365162,02351692
02237024=>00573752,02392704,02234749,00724963,02247496,02241916,02325489,02245174,02125323,02301539
02236577=>02367033,02091143,02373963,02344653,00363774,02199270,02281317,00621463,00846589,02373246
02237188=>02377608,02380692,02242940,02158639,02275112,02314088,02331632,01926691,02213354,02273950
02237179=>02390434,02255014,02289407,02216221,00232661,02351021,02298589,02283700,02278618,00398144
02230260=>02298228,02143305,02273187,02287366,02237479,02385414,02260301,00878111,02376865,02339706
02231298=>02231603,02237698,00713449,02361612,02335964,02239703,02229021,02388359,02248382,02395266
02229377=>02238171,02313758,02287935,00016055,02305372,01910051,02041421,02317699,02160366,00818712
02229419=>01905635,02388286,02296608,02230431,02247734,02278359,02238497,02243403,02242096
02238452=>02147440,02289334,02238454,02299615,00800813,02163713,00060208,02324229,00295094,02145901
02243241=>00167215,02319314,02409720,00466689,02393034,02375893,02267632,02241969,02057778,02125323
02242168=>00118435,00037435,02231244,00626368,02299054,02028069,02371642,00598313
02238440=>01938177,02172593,00694827,02016028,02362880,02243446,02264323,02305194,02287668,02368714
02237982=>02254107,01926292,02245781,02231782,02027887,02303620,00881600,02232388,02169509,02223724
02238045=>00530646,02046229,00342106,02347520,01983377,00476366,02395436,01925199,01938940,02387468
02237685=>02392224,02358778,02353679,00308315,02391430,00511692,02293161,02112809,02325659,02284383
02230469=>02237479,02378655,02260336,02239355,00786306,02239200,00784044,02393751,02380633,02279339
02229425=>01986007,02209055,02261723,02283409,00024341,02167794,02380382,02153564,01912046,02269031
02230538=>02248034,02246565,02247767,01931571,02355779,02375788,01962000,01936948,02245647,02147645
02229786=>02408317,02368277,02238557,02329433,02313634,02317532,02349191,02393875,02246282,02237141
02318784=>02262339,02221292,02225689,02223503,02063204,02357712,02011654,00589861,02330105,02272849
02393816=>00420530,00030937,00577774,02233005,02018950,02271419,00779830,02245185,02236728,02145294
02392046=>02348667,02156040,02268787,02261073,02308940,02300923,00299596,02219190,02368013,02305534
02390574=>02239667,02394472,02401274,02355175,02293196,00738832,00842826,02236944,02139383,02318717
02381591=>02345846,02311909,02229519,02369060,02052474,02411296,02351579,02106280,02300923,00512524
02378019=>00707570,00454583,02243230,02247980,02282259,02342162,02379104,02249278,02221926,02363712
02377756=>02243186,02245820,00319392,02246082,00638919,02220156,02067269,00821772,02249510,00783595
02368595=>02230956,00636908,02322404,02150336,02339471,02248183,02240701,02247069,02245688,02412675
